term,section,prefix,number,level,sectionID,load,daysString,location,startTime,startTimeStr,endTime,endTimeStr,duration,instructor,notes,days
S,A,Math,351,300,Math-351-A-S,4,MWRF,NH 261,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,John Ferdinands,2020-03-30: uniform open day for instructor,"M,W,R,F"
S,A,Stat,145,100,Stat-145-A-S,4,MWRF,NH 276,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Thomas Scofield,2020-03-30: uniform open day for instructor,"M,W,R,F"
F,A,Math,71,700,Math-71-A-F,1.5,TR,NH 259,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Thomas Scofield,"New idea: split Math 170 into support courses for Math 171 (F) and Math 172 (S).
2020-05-04: Room swap to make room for Stat 245","T,R"
F,B,Math,251,200,Math-251-B-F,3,MWF,NH 259,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Thomas Scofield,2020-05-04: Room swap to make room for Stat 245,"M,W,F"
F,A,Stat,245,200,Stat-245-A-F,4,MTRF,NH 276,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Stacy DeRuiter,2020-05-04: Room swap to make room for Stat 245,"M,T,R,F"
F,A,Math,251,200,Math-251-A-F,3,MWF,NH 259,2000-01-01T16:30:00.000Z,11:30,2000-01-01T17:20:00.000Z,12:20,50,Thomas Scofield,2020-05-04: Room swap to make room for Stat 245,"M,W,F"
F,A,Math,271,200,Math-271-A-F,4,MTWF,NH 276,2000-01-01T16:30:00.000Z,11:30,2000-01-01T17:20:00.000Z,12:20,50,Todd Kapitula,"Schedule Math 270 at same time.
Need to determine date of Math 270 final.
2020-05-04: Room swap to make room for Stat 245","M,T,W,F"
S,A,Math,327,300,Math-327-A-S,3,TR,NH 251,2000-01-01T17:05:00.000Z,12:05,2000-01-01T18:20:00.000Z,13:20,75,David Klanderman,"2020-03-10: Change days to avoid conflict with Educ course.
This time allows for occasional trips to schools with a little buffer for travel.
2020-05-04: Move time to make scheduling of 10:30 classes available for these students.","T,R"
S,A,Math,132,100,Math-132-A-S,4,MWF,NH 251,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Michael Bolt,2020-05-04: Moving T class session to make room for Math 327,"M,W,F"
S,A-2,Math,132,100,Math-132-A-2-S,0,T,NH 276,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Michael Bolt,2020-05-04: Moving T class session to make room for Math 327,T
S,A,Math,231,200,Math-231-A-S,4,MWRF,NH 259,2000-01-01T14:00:00.000Z,09:00,2000-01-01T14:50:00.000Z,09:50,50,John Ferdinands,"2020-03-30: avoid tues engr lab
2020-09-25: give John double prep for 231 (TS-> JF)","M,W,R,F"
S,B,Math,231,200,Math-231-B-S,4,MWRF,NH 295,2000-01-01T15:30:00.000Z,10:30,2000-01-01T16:20:00.000Z,11:20,50,John Ferdinands,"2020-03-30: avoid tues engr lab
2020-09-25: give John double prep for 231 (TK -> JF)","M,W,R,F"
S,C,Math,231,200,Math-231-C-S,4,MWRF,NH 295,2000-01-01T16:30:00.000Z,11:30,2000-01-01T17:20:00.000Z,12:20,50,Thomas Scofield,"2020-03-30: avoid tues engr lab
2020-09-25: give John double prep for 231 (JF-> TS)","M,W,R,F"
S,D,Math,231,200,Math-231-D-S,4,MTWF,NH 295,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Todd Kapitula,2020-09-25: give John double prep for 231 (NS -> TK),"M,T,W,F"
S,A,Math,271,200,Math-271-A-S,4,MWRF,NH 276,2000-01-01T14:00:00.000Z,09:00,2000-01-01T14:50:00.000Z,09:50,50,Christopher Moseley,"2020-03-30: avoid tues engr lab
2020-09-25: give John double prep for 231","M,W,R,F"
S,A,Math,172,100,Math-172-A-S,4,MWRF,ONLINE,2000-01-01T13:00:00.000Z,08:00,2000-01-01T13:50:00.000Z,08:50,50,Christopher Moseley,"2020-03-30: uniform open day for instructor
2020-09-25: create online 172 -- should it have a time?","M,W,R,F"
S,A,Math,171,100,Math-171-A-S,4,MTWF,NH 259,2000-01-01T15:30:00.000Z,10:30,2000-01-01T16:20:00.000Z,11:20,50,Todd Kapitula,2020-09-25: swap-o-rama to create online 172 (CM -> TK),"M,T,W,F"
S,A,Math,W83,W00,Math-W83-A-S,3,MWF,NH 261,2000-01-01T14:00:00.000Z,09:00,2000-01-01T14:50:00.000Z,09:50,50,Todd Kapitula,,"M,W,F"
S,D,Stat,143,100,Stat-143-D-S,4,MTWF,NH 295,2000-01-01T16:30:00.000Z,11:30,2000-01-01T17:20:00.000Z,12:20,50,Nathan Sunukjian,"2020-03-30: open Thursday for instructor
2020-09-25: swap-o-rama to create online 172 (1:30 -> 11:30)","M,T,W,F"
S,E,Stat,143,100,Stat-143-E-S,4,MTWF,NH 295,2000-01-01T17:30:00.000Z,12:30,2000-01-01T18:20:00.000Z,13:20,50,Nathan Sunukjian,"2020-03-30: uniform open day for instructor
2020-09-25: swap-a-rama to create online 172 (CM -> NS; 2:30 -> 12:30)","M,T,W,F"
