Term,Section Name,Stu Cred,Fac Load,Room,Days,Meeting Time,Short Title,Faculty
19/FA,"MATH-361-A",4.00,4.00,"NH 251","MTWF","12:30PM - 1:20PM","Real Analysis I","John Ferdinands"
20/IN,"MATH-390-A",3.00,0.00,"","","","Modeling of Angiogenesis","Todd Kapitula"
19/FA,"MATH-390-A",3.00,0.00,"","","","Modeling of Angiogenesis","Christopher Moseley"
20/SP,"MATH-391-A",0.00,1.00,"NH 276","TH","3:30PM - 4:20PM","Colloquium","David Klanderman
Christopher Moseley"
19/FA,"MATH-391-A",0.00,1.00,"NH 276","TH","3:30PM - 4:30PM","Colloquium","David Klanderman
Christopher Moseley"
20/SP,"MATH-395-A",4.00,0.00,"","","","Senior Thesis in Mathematics","Todd Kapitula"
20/IN,"MATH-W81-A",3.00,3.00,"NH 251","MTWTHF","2:00PM - 5:00PM","Mathemagic: Adv Prob Solving","Christopher Moseley"
20/IN,"MATH-W82-A",3.00,3.00,"SB 372","MTWTHF","8:30AM - 12:00PM","Interactive Data Visual W/ D3","Randall Pruim"
20/SP,"STAT-143-A",4.00,4.00,"NH 295","MTTHF","8:00AM - 8:50AM","Probability and Statistics","Pam Plantinga"
19/FA,"STAT-143-A",4.00,4.00,"NH 295","MTTHF","8:00AM - 8:50AM","Probability and Statistics","Pam Plantinga"
20/SP,"STAT-143-B",4.00,4.00,"NH 295","MTTHF","9:00AM - 9:50AM","Probability and Statistics","Pam Plantinga"
19/FA,"STAT-143-B",4.00,4.00,"NH 295","MTTHF","9:00AM - 9:50AM","Probability and Statistics","Pam Plantinga"
20/SP,"STAT-143-C",4.00,4.00,"NH 295","MTTHF","10:30AM - 11:20AM","Probability and Statistics","Barbara VanHarn Adams"
19/FA,"STAT-143-C",4.00,4.00,"NH 295","MTTHF","10:30AM - 11:20AM","Probability and Statistics","Barbara VanHarn Adams"
20/SP,"STAT-143-D",4.00,4.00,"NH 295","MTTHF","1:30PM - 2:20PM","Probability and Statistics","Christopher Moseley"
19/FA,"STAT-143-D",4.00,4.00,"NH 295","MTTHF","11:30AM - 12:20PM","Probability and Statistics","Barbara VanHarn Adams"
20/SP,"STAT-143-E",4.00,4.00,"NH 295","MTTHF","2:30PM - 3:20PM","Probability and Statistics","Christopher Moseley"
19/FA,"STAT-143-E",4.00,4.00,"NH 295","MTTHF","1:30PM - 2:20PM","Probability and Statistics","Gary Talsma"
20/SP,"STAT-145-A",4.00,4.00,"NH 276","MTTHF","12:30PM - 1:20PM","Biostatistics","Thomas L. Scofield"
19/FA,"STAT-145-A",4.00,4.00,"NH 276","MTWF","9:00AM - 9:50AM","Biostatistics","Stacy De Ruiter"
20/SP,"STAT-241-A",2.00,2.00,"NH 259","TTH","10:30AM - 11:20AM","Engineering Statistics","Thomas Jager"
20/SP,"STAT-241-B",2.00,2.00,"NH 259","TTH","11:30AM - 12:20PM","Engineering Statistics","Thomas Jager"
20/SP,"STAT-241-C",2.00,2.00,"NH 259","TTH","12:30PM - 1:20PM","Engineering Statistics","Thomas Jager"
20/SP,"STAT-243-A",4.00,4.00,"NH 276","MTTHF","9:00AM - 9:50AM","Statistics","Stacy De Ruiter"
19/FA,"STAT-245-A",4.00,4.00,"NH 259","MTTHF","12:30PM - 1:20PM","Applied Data Analysis","Stacy De Ruiter"
19/FA,"STAT-343-A",4.00,4.00,"NH 259
NH 261","MTTH
F","1:30PM - 2:20PM
2:30PM - 3:20PM","Probability & Statistics","Randall Pruim"
20/SP,"STAT-344-A",4.00,3.00,"NH 261","MTTHF","1:30PM - 2:20PM","Mathematical Statistics","Stacy De Ruiter"
19/FA,"STAT-390-A",1.00,0.00,"","","","Actuarial Internship","Randall Pruim"
